page_link,img_link,whatsapp_link,price,location,bedrooms,bathrooms,area,title,description,time
https://www.zameen.com/Property/islamabad_d_12_4_marla_brand_new_house_for_sale-36182180-160-1.html,https://media.zameen.com/thumbnails/147724871-400x300.jpeg,https://wa.me/?text=4%20Marla%20Brand%20New%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_4_marla_brand_new_house_for_sale-36182180-160-1.html,3.25 Crore,"D-12, Islamabad",4,4,4 Marla,4 Marla Brand New House For Sale,"4 Marla Beautiful House For Sale 
Prime Location(Infront Of D12 Markaz)
Two Unit House
4 Bedrooms... more",Added: 5 days ago
https://www.zameen.com/Property/islamabad_d_12_1_kanal_corner_house_available_for_sale-35636378-160-1.html,https://media.zameen.com/thumbnails/146249416-400x300.jpeg,https://wa.me/?text=1%20Kanal%20Corner%20House%20Available%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_1_kanal_corner_house_available_for_sale-35636378-160-1.html,13.5 Crore,"D-12, Islamabad",9,9,1 Kanal,1 Kanal Corner House Available For Sale,"Triple Story Corner House
Murree Facing
Extra Land 

9 Bedrooms with attach bathroom
Study Room... more",Added: 6 days ago
https://www.zameen.com/Property/d_12_d_12_4_brand_new_10_marla_house_for_sale-34872460-3157-1.html,https://media.zameen.com/thumbnails/141587324-400x300.jpeg,https://wa.me/?text=Brand%20New%2010%20Marla%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_4_brand_new_10_marla_house_for_sale-34872460-3157-1.html,6.6 Crore,"D-12/4, D-12",6,6,10 Marla,Brand New 10 Marla House For Sale,"Size  10 Matrla
double Unit House
6beds 
6 Baths 
2 Kitchen
2 Lounge And Drawing
2 Car Parking... more",Added: 2 hours ago
https://www.zameen.com/Property/islamabad_d_12_house_for_sale-36234885-160-1.html,https://media.zameen.com/thumbnails/148052960-400x300.jpeg,https://wa.me/?text=House%20for%20sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_house_for_sale-36234885-160-1.html,6.95 Crore,"D-12, Islamabad",5,6,10 Marla,House for sale,"10 marla
margalla facing
near to park
near to markaz
5 bedrooms with attached bathrooms
drawing... more",Added: 15 hours ago
https://www.zameen.com/Property/islamabad_d_12_ready_to_buy_a_house_900_square_feet_in_d_12-36235426-160-1.html,https://media.zameen.com/thumbnails/148059481-400x300.jpeg,https://wa.me/?text=Ready%20To%20Buy%20A%20House%20900%20Square%20Feet%20In%20D-12%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_ready_to_buy_a_house_900_square_feet_in_d_12-36235426-160-1.html,3.5 Crore,"D-12, Islamabad",3,4,4 Marla,Ready To Buy A House 900 Square Feet In D-12,"4.4 Marla 25*40
corner House
margalla Facing
3 Bedrooms With Attached Bathrooms
drawing Dining... more",Added: 15 hours ago
https://www.zameen.com/Property/islamabad_d_12_house_for_sale-36083655-160-1.html,,https://wa.me/?text=House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_house_for_sale-36083655-160-1.html,14 Crore,"D-12, Islamabad",9,10,1 Kanal,House For Sale,"House for sale
margalla facing
wide street
easy access
near to main double road
near to park
9... more",Added: 15 hours ago
https://www.zameen.com/Property/islamabad_d_12_house_for_sale-36168352-160-1.html,,https://wa.me/?text=House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_house_for_sale-36168352-160-1.html,5.9 Crore,"D-12, Islamabad",5,6,8 Marla,House For Sale,"30×60 
park facing  
 corner
5 bedrooms with attached bathrooms
drawing dining 
 kitchen... more",Added: 15 hours ago
https://www.zameen.com/Property/islamabad_d_12_house_for_sale-35106686-160-1.html,,https://wa.me/?text=House%20for%20sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_house_for_sale-35106686-160-1.html,3 Crore,"D-12, Islamabad",4,5,4 Marla,House for sale,"beautiful house
solid construction
nice location
wide street
near to park
3 bedrooms with attached... more",Added: 15 hours ago
https://www.zameen.com/Property/islamabad_d_12_ideal_house_is_available_for_sale_in_d_12-35108659-160-1.html,,https://wa.me/?text=Ideal%20House%20Is%20Available%20For%20Sale%20In%20D-12%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_ideal_house_is_available_for_sale_in_d_12-35108659-160-1.html,16.5 Crore,"D-12, Islamabad",7,9,1.2 Kanal,Ideal House Is Available For Sale In D-12,"beautiful location
easy access to margalla road
wide street
amazing margalla view
solid... more",Added: 15 hours ago
https://www.zameen.com/Property/d_12_d_12_4_top_class_d_12_4_double_road_corner_house_for_sale_with_much_extra_land-36226611-3157-1.html,,https://wa.me/?text=Top%20Class%20D-12%204%20Double%20Road%20Corner%20House%20For%20Sale%20With%20Much%20Extra%20Land%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_4_top_class_d_12_4_double_road_corner_house_for_sale_with_much_extra_land-36226611-3157-1.html,4 Crore,"D-12/4, D-12",3,3,4.4 Marla,Top Class D-12 4 Double Road Corner House For Sale With Much Extra Land,"Best option for living purpose

note it is double road corner house with 10-25 extra land

details ... more",Added: 21 hours ago
https://www.zameen.com/Property/islamabad_d_12_d_12_double_road_corner_house_with_extra_land_available_for_sale_top_class_location-36511904-160-1.html,,https://wa.me/?text=D-12%20Double%20Road%20Corner%20House%20With%20Extra%20Land%20Available%20For%20Sale%20Top%20Class%20Location%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_d_12_double_road_corner_house_with_extra_land_available_for_sale_top_class_location-36511904-160-1.html,8 Crore,"D-12, Islamabad",7,9,8 Marla,D-12 Double Road Corner House With Extra Land Available For Sale Top Class Location,"Best Option For Living Purpose

Details . Triple Story House. Size 30-60 Brand New
7 Master Bed... more",Added: 21 hours ago
https://www.zameen.com/Property/islamabad_d_12_house_for_sale_d12_1-35838271-160-1.html,,https://wa.me/?text=House%20For%20Sale%20D12%201%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_house_for_sale_d12_1-35838271-160-1.html,2.9 Crore,"D-12, Islamabad",3,3,4 Marla,House For Sale D12 1,"Brand new house
Margalla facing
3 bedroom and Attached washroom
1 kitchen
Dining hall
Car parking... more",Added: 1 day ago
https://www.zameen.com/Property/islamabad_d_12_5_marla_house_available_double_storey-32544185-160-1.html,https://media.zameen.com/thumbnails/130732895-400x300.jpeg,https://wa.me/?text=5%20Marla%20House%20Available%20Double%20Storey%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_5_marla_house_available_double_storey-32544185-160-1.html,3.5 Crore,"D-12, Islamabad",3,4,5 Marla,5 Marla House Available Double Storey,"The Beautiful Location Near To Markaz Near To Park Near To Double Road The Beautiful House In 12,3 ... more",Added: 1 day ago
https://www.zameen.com/Property/d_12_d_12_1_d_12_brand_new_double_story_house_margalla_view_for_sale-32515162-3154-1.html,https://media.zameen.com/thumbnails/130571184-400x300.jpeg,https://wa.me/?text=D-12%20Brand%20New%20Double%20Story%20House%20Margalla%20View%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_d_12_brand_new_double_story_house_margalla_view_for_sale-32515162-3154-1.html,7 Crore,"D-12/1, D-12",4,6,10.9 Marla,D-12 Brand New Double Story House Margalla View For Sale,"D-12 1 Brand New House For Sale
4 Bedroom
6 Bathroom
2 kitchen
2 TV Lounge
2 Drawing Room
2 Powder... more",Added: 2 days ago
https://www.zameen.com/Property/d_12_d_12_1_d_12_1_corner_house_margalla_view_for_sale-32514951-3154-1.html,https://media.zameen.com/thumbnails/130569002-400x300.jpeg,https://wa.me/?text=D-12%201%20Corner%20House%20Margalla%20View%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_d_12_1_corner_house_margalla_view_for_sale-32514951-3154-1.html,6.5 Crore,"D-12/1, D-12",6,7,10.9 Marla,D-12 1 Corner House Margalla View For Sale,"D-12 Triple Story House 6 Bedroom House For Sale
6 Bedroom
7 Bathroom
3 Kitchen
3 Tv Lounge
3... more",Added: 2 days ago
https://www.zameen.com/Property/islamabad_d_12_d_12_brand_new_house_30x60-35169344-160-1.html,https://media.zameen.com/thumbnails/144525553-400x300.jpeg,https://wa.me/?text=D-12%20Brand%20New%20House%2030x60%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_d_12_brand_new_house_30x60-35169344-160-1.html,5.9 Crore,"D-12, Islamabad",5,6,8 Marla,D-12 Brand New House 30x60,Entering A New Level In Residential House's Construction Alhamdulillah. (30x60)ft Luxury House Just... more,Added: 3 hours ago
https://www.zameen.com/Property/d_12_d_12_1_brand_new_3_unit_house_is_available_for_sale_in_d_12_1_islamabad-33203798-3154-1.html,https://media.zameen.com/thumbnails/133754154-400x300.jpeg,https://wa.me/?text=Brand%20New%203%20Unit%20House%20Is%20Available%20For%20Sale%20In%20D-12%2F1%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_brand_new_3_unit_house_is_available_for_sale_in_d_12_1_islamabad-33203798-3154-1.html,7.2 Crore,"D-12/1, D-12",6,9,10 Marla,Brand New 3 Unit House Is Available For Sale In D-12/1 Islamabad,"Brand New 3 Unit House Is Available For Sale In D-12/1 Islamabad 
6 Bedroom With Bath
3 Drawing... more",Added: 1 week ago
https://www.zameen.com/Property/islamabad_d_12_1_kanal_triple_story_corner_house_for_sale-35937883-160-1.html,https://media.zameen.com/thumbnails/146496759-400x300.jpeg,https://wa.me/?text=1%20Kanal%20Triple%20Story%20Corner%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_1_kanal_triple_story_corner_house_for_sale-35937883-160-1.html,13.5 Crore,"D-12, Islamabad",9,9,1 Kanal,1 Kanal Triple Story Corner House For Sale,"1 Kanal Beautiful House For Sale
9bedrooms with attach bathroom
3 Kitchens
TV lounge
Big Car... more",Added: 3 weeks ago
https://www.zameen.com/Property/islamabad_d_12_14_marla__brand_new_house_for_sale-35981133-160-1.html,https://media.zameen.com/thumbnails/146767804-400x300.jpeg,https://wa.me/?text=14%20Marla%20%20Brand%20new%20House%20for%20sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_14_marla__brand_new_house_for_sale-35981133-160-1.html,8.25 Crore,"D-12, Islamabad",9,9,14 Marla,14 Marla  Brand new House for sale,"Triple Story House 
8 bedrooms with attach bathroom
1 Servant Room
big TV Lounge
Drawing Room
large... more",Added: 3 weeks ago
https://www.zameen.com/Property/islamabad_d_12_4_marla_corner_house_for_sale-36460873-160-1.html,,https://wa.me/?text=4%20Marla%20Corner%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_4_marla_corner_house_for_sale-36460873-160-1.html,3.6 Crore,"D-12, Islamabad",3,4,4 Marla,4 Marla Corner House For Sale,"Brand New House For Sale
Prime Location House
Margala Facing
Corner House
3 bedrooms 
2 Kitchens
1... more",Added: 5 days ago
https://www.zameen.com/Property/d_12_d_12_3_brand_new_corner_and_park_face_house_for_sale-36384398-3156-1.html,,https://wa.me/?text=Brand%20New%20Corner%20And%20Park%20Face%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_3_brand_new_corner_and_park_face_house_for_sale-36384398-3156-1.html,5.9 Crore,"D-12/3, D-12",5,6,8 Marla,Brand New Corner And Park Face House For Sale,"Having 5 Bedroom Attached Bath
drawing And Dining Room
tv Lounge 
kitchen
servant Quarter 
store... more",Added: 1 day ago
https://www.zameen.com/Property/islamabad_d_12_brand_new_house_for_sale-36517188-160-1.html,,https://wa.me/?text=Brand%20New%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_brand_new_house_for_sale-36517188-160-1.html,3.25 Crore,"D-12, Islamabad",4,4,4 Marla,Brand New House For Sale,"Having 4 Bedroom Attached Bath
Drawing And Dining Room
TV Lounge 
Kitchen
Servant Quarter 
Store... more",Added: 1 day ago
https://www.zameen.com/Property/islamabad_d_12_brand_new_house_for_sale_near_to_park-36517384-160-1.html,,https://wa.me/?text=Brand%20New%20House%20for%20Sale%20Near%20to%20Park%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_brand_new_house_for_sale_near_to_park-36517384-160-1.html,6.9 Crore,"D-12, Islamabad",5,6,10 Marla,Brand New House for Sale Near to Park,"Having 5 Bedroom Attached Bath
Drawing And Dining Room
TV Lounge 
Kitchen with Dirty Kitchen... more",Added: 1 day ago
https://www.zameen.com/Property/islamabad_d_12_4_marla_house_available_for_sall_in_d12-36182421-160-1.html,,https://wa.me/?text=4%20Marla%20House%20Available%20For%20Sall%20in%20D12%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_4_marla_house_available_for_sall_in_d12-36182421-160-1.html,2.55 Crore,"D-12, Islamabad",4,4,4 Marla,4 Marla House Available For Sall in D12,"The beautiful location near to Markaz near to Park Double Storey  one Unit
A modern look House in a... more",Added: 1 day ago
https://www.zameen.com/Property/d_12_d_12_1_triple_storey_brand_new_house-33892331-3154-1.html,,https://wa.me/?text=Triple%20Storey%20Brand%20New%20House%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_1_triple_storey_brand_new_house-33892331-3154-1.html,8 Crore,"D-12/1, D-12",6,,14.2 Marla,Triple Storey Brand New House,"D-12 1(40x80)- Brand New Triple Storey House. 
Three Independent Units. 
Having 3 Bedrooms each on... more",Added: 4 days ago
https://www.zameen.com/Property/d_12_d_12_4_d_12_4_30x60_almost_new_triple_storey_house_for_sale-33186306-3157-1.html,,https://wa.me/?text=D-12%204%2030x60%20Almost%20New%20Triple%20Storey%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_4_d_12_4_30x60_almost_new_triple_storey_house_for_sale-33186306-3157-1.html,5.25 Crore,"D-12/4, D-12",6,6,8 Marla,D-12 4 30x60 Almost New Triple Storey House For Sale,"D-12 4(30x60)- Almost New Corner Triple Storey House. 
Three Independent Units Having 2 Bedrooms,... more",Added: 4 days ago
https://www.zameen.com/Property/islamabad_d_12_4_marla_brand_new_double_storey_house_available_for_sale_d_12_in_islamabad-36095914-160-1.html,,https://wa.me/?text=4%20Marla%20Brand%20New%20Double%20Storey%20House%20Available%20For%20Sale%20D-12%20In%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_4_marla_brand_new_double_storey_house_available_for_sale_d_12_in_islamabad-36095914-160-1.html,2.85 Crore,"D-12, Islamabad",4,5,4 Marla,4 Marla Brand New Double Storey House Available For Sale D-12 In Islamabad,"4 Bed Rooms With Attached Wash Rooms 
2 Kitchen T. v Lounge Drawing Room Car Parking
electricity... more",Added: 5 days ago
https://www.zameen.com/Property/islamabad_d_12_8_marla_brand_new_luxury_double_story_house_available_for_sale_d_12_in_islamabad-35965680-160-1.html,,https://wa.me/?text=8%20Marla%20Brand%20New%20Luxury%20Double%20Story%20House%20Available%20For%20Sale%20D-12%20In%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_8_marla_brand_new_luxury_double_story_house_available_for_sale_d_12_in_islamabad-35965680-160-1.html,5.5 Crore,"D-12, Islamabad",5,6,8 Marla,8 Marla Brand New Luxury Double Story House Available For Sale D-12 In Islamabad,"5 Master Beds With Attached Wash Rooms 
2 T. V Lounge 
2 Drawing Rooms 
1 Servant Room 
2 Car... more",Added: 5 days ago
https://www.zameen.com/Property/islamabad_d_12_4_marla_brand_new_most_beautiful__outstanding_double_story_house_available_for_sale_d_12_in_islamabad-36329221-160-1.html,,https://wa.me/?text=4%20Marla%20Brand%20New%20Most%20Beautiful%20%20Outstanding%20Double%20Story%20House%20Available%20For%20Sale%20D-12%20In%20Islamabad%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_4_marla_brand_new_most_beautiful__outstanding_double_story_house_available_for_sale_d_12_in_islamabad-36329221-160-1.html,3.1 Crore,"D-12, Islamabad",4,5,4 Marla,4 Marla Brand New Most Beautiful  Outstanding Double Story House Available For Sale D-12 In Islamabad,4 Master Beds With Attached Wash Rooms 2 Kitchens 2 T. V Lounge Drawing Room Servant Room Car... more,Added: 5 days ago
https://www.zameen.com/Property/islamabad_d_12_to_sale_you_can_find_spacious_house_in_d_12-36277618-160-1.html,,https://wa.me/?text=To%20Sale%20You%20Can%20Find%20Spacious%20House%20In%20D-12%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_to_sale_you_can_find_spacious_house_in_d_12-36277618-160-1.html,6.75 Crore,"D-12, Islamabad",,,10 Marla,To Sale You Can Find Spacious House In D-12,"With so many investment options available, you can become a proud property owner today. Safety of... more",Added: 5 days ago
https://www.zameen.com/Property/islamabad_d_12_house_available_for_sale_in_d_12-36277617-160-1.html,,https://wa.me/?text=House%20Available%20For%20Sale%20In%20D-12%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_house_available_for_sale_in_d_12-36277617-160-1.html,5.15 Crore,"D-12, Islamabad",,,8 Marla,House Available For Sale In D-12,Not to sound biased but the city of Islamabad seems to welcome all with great hope and... more,Added: 5 days ago
https://www.zameen.com/Property/islamabad_d_12_5_marla_house_in_d_12_is_available_for_taking-36277614-160-1.html,,https://wa.me/?text=5%20Marla%20House%20In%20D-12%20Is%20Available%20For%20Taking%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fislamabad_d_12_5_marla_house_in_d_12_is_available_for_taking-36277614-160-1.html,3.35 Crore,"D-12, Islamabad",,,5 Marla,5 Marla House In D-12 Is Available For Taking,"Take a look at the best property from D-12 in this page. PKR Rs 33,500,000 is quite an ideal demand... more",Added: 6 days ago
https://www.zameen.com/Property/d_12_d_12_4_50x90_sq_feet_brand_new_house_for_sale-27467322-3157-1.html,,https://wa.me/?text=50x90%20Sq%20Feet%20Brand%20New%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_4_50x90_sq_feet_brand_new_house_for_sale-27467322-3157-1.html,10 Crore,"D-12/4, D-12",9,9,1 Kanal,50x90 Sq Feet Brand New House For Sale,"9 Beds With Attach Washrooms
3 Kitchen
3 Drawing Room
3 Tv Lounge
one Servant Quarter
3 Car Parking... more",Added: 3 days ago
https://www.zameen.com/Property/d_12_d_12_4_4_marla_brand_new_house_for_sale-34663191-3157-1.html,,https://wa.me/?text=4%20Marla%20Brand%20New%20House%20For%20Sale%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_4_4_marla_brand_new_house_for_sale-34663191-3157-1.html,2.65 Crore,"D-12/4, D-12",4,4,4 Marla,4 Marla Brand New House For Sale,"Size:25x40
4 beds with attach washrooms
2 kitchen
One tv lounge
One car parking
One servant quarter... more",Added: 3 days ago
https://www.zameen.com/Property/d_12_d_12_markaz_corner_flat_for_sale__750_sq_feet__d_12_markaz-35423077-3158-1.html,,https://wa.me/?text=Corner%20Flat%20For%20Sale%20(750%20Sq%20Feet)%20D-12%20Markaz%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_markaz_corner_flat_for_sale__750_sq_feet__d_12_markaz-35423077-3158-1.html,75 Lakh,"D-12 Markaz, D-12",2,2,3.3 Marla,Corner Flat For Sale (750 Sq Feet) D-12 Markaz,"Size 750 Sq Feet
Corner Flat
Margalla View
Water Available
Parking Available
Future... more",Added: 3 days ago
https://www.zameen.com/Property/d_12_d_12_markaz_2_bed_flat_for_sale_d_12_markaz_950_sq_feet-35422918-3158-1.html,,https://wa.me/?text=2%20Bed%20Flat%20For%20Sale%20D-12%20Markaz%20950%20Sq%20Feet%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_markaz_2_bed_flat_for_sale_d_12_markaz_950_sq_feet-35422918-3158-1.html,1 Crore,"D-12 Markaz, D-12",2,2,4.2 Marla,2 Bed Flat For Sale D-12 Markaz 950 Sq Feet,"Size 950 Sq Feet
floor 2nd
parking Available
2 Bed
2 Bath
drawing Dining
water Available... more",Added: 3 days ago
https://www.zameen.com/Property/d_12_d_12_markaz_2_bed_corner_flat_for_sale_margalla_facing_d_12_markaz-35422813-3158-1.html,,https://wa.me/?text=2%20Bed%20Corner%20Flat%20For%20Sale%20Margalla%20Facing%20D-12%20Markaz%20https%3A%2F%2Fwww.zameen.com%2FProperty%2Fd_12_d_12_markaz_2_bed_corner_flat_for_sale_margalla_facing_d_12_markaz-35422813-3158-1.html,85 Lakh,"D-12 Markaz, D-12",2,2,3.3 Marla,2 Bed Corner Flat For Sale Margalla Facing D-12 Markaz,"Size 750 Sq Feet
2 Bed
2 Bath
1 Kitchen
1 Dd &amp; Living Area
2nd Floor
margalla View
marble... more",Added: 3 days ago
